name,website,industry,employee_count,description,job_titles,relevance_score
Technology Company 0,https://www.technologycompany0.com,technology,50-100,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 0: Software Developer; Developer 2 at Technology Company 0: Software Developer,54
Technology Company 1,https://www.technologycompany1.com,technology,100-200,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 1: Software Developer; Developer 2 at Technology Company 1: Software Developer,54
Technology Company 2,https://www.technologycompany2.com,technology,150-300,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 2: Software Developer; Developer 2 at Technology Company 2: Software Developer,54
Technology Company 3,https://www.technologycompany3.com,technology,200-400,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 3: Software Developer; Developer 2 at Technology Company 3: Software Developer,54
Technology Company 4,https://www.technologycompany4.com,technology,250-500,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 4: Software Developer; Developer 2 at Technology Company 4: Software Developer,54
Technology Company 5,https://www.technologycompany5.com,technology,300-600,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 5: Software Developer; Developer 2 at Technology Company 5: Software Developer,54
Technology Company 6,https://www.technologycompany6.com,technology,350-700,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 6: Software Developer; Developer 2 at Technology Company 6: Software Developer,54
Technology Company 7,https://www.technologycompany7.com,technology,400-800,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 7: Software Developer; Developer 2 at Technology Company 7: Software Developer,54
Technology Company 8,https://www.technologycompany8.com,technology,450-900,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 8: Software Developer; Developer 2 at Technology Company 8: Software Developer,54
Technology Company 9,https://www.technologycompany9.com,technology,500-1000,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 9: Software Developer; Developer 2 at Technology Company 9: Software Developer,54
Technology Company 10,https://www.technologycompany10.com,technology,550-1100,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 10: Software Developer; Developer 2 at Technology Company 10: Software Developer,54
Technology Company 11,https://www.technologycompany11.com,technology,600-1200,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 11: Software Developer; Developer 2 at Technology Company 11: Software Developer,54
Technology Company 12,https://www.technologycompany12.com,technology,650-1300,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 12: Software Developer; Developer 2 at Technology Company 12: Software Developer,54
Technology Company 13,https://www.technologycompany13.com,technology,700-1400,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 13: Software Developer; Developer 2 at Technology Company 13: Software Developer,54
Technology Company 14,https://www.technologycompany14.com,technology,750-1500,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 14: Software Developer; Developer 2 at Technology Company 14: Software Developer,54
Technology Company 15,https://www.technologycompany15.com,technology,800-1600,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 15: Software Developer; Developer 2 at Technology Company 15: Software Developer,54
Technology Company 16,https://www.technologycompany16.com,technology,850-1700,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 16: Software Developer; Developer 2 at Technology Company 16: Software Developer,54
Technology Company 17,https://www.technologycompany17.com,technology,900-1800,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 17: Software Developer; Developer 2 at Technology Company 17: Software Developer,54
Technology Company 18,https://www.technologycompany18.com,technology,950-1900,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 18: Software Developer; Developer 2 at Technology Company 18: Software Developer,54
Technology Company 19,https://www.technologycompany19.com,technology,1000-2000,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 19: Software Developer; Developer 2 at Technology Company 19: Software Developer,54
Technology Company 20,https://www.technologycompany20.com,technology,1050-2100,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 20: Software Developer; Developer 2 at Technology Company 20: Software Developer,34
Technology Company 21,https://www.technologycompany21.com,technology,1100-2200,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 21: Software Developer; Developer 2 at Technology Company 21: Software Developer,34
Technology Company 22,https://www.technologycompany22.com,technology,1150-2300,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 22: Software Developer; Developer 2 at Technology Company 22: Software Developer,34
Technology Company 23,https://www.technologycompany23.com,technology,1200-2400,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 23: Software Developer; Developer 2 at Technology Company 23: Software Developer,34
Technology Company 24,https://www.technologycompany24.com,technology,1250-2500,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 24: Software Developer; Developer 2 at Technology Company 24: Software Developer,34
Technology Company 25,https://www.technologycompany25.com,technology,1300-2600,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 25: Software Developer; Developer 2 at Technology Company 25: Software Developer,34
Technology Company 26,https://www.technologycompany26.com,technology,1350-2700,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 26: Software Developer; Developer 2 at Technology Company 26: Software Developer,34
Technology Company 27,https://www.technologycompany27.com,technology,1400-2800,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 27: Software Developer; Developer 2 at Technology Company 27: Software Developer,34
Technology Company 28,https://www.technologycompany28.com,technology,1450-2900,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 28: Software Developer; Developer 2 at Technology Company 28: Software Developer,34
Technology Company 29,https://www.technologycompany29.com,technology,1500-3000,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 29: Software Developer; Developer 2 at Technology Company 29: Software Developer,34
Technology Company 30,https://www.technologycompany30.com,technology,1550-3100,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 30: Software Developer; Developer 2 at Technology Company 30: Software Developer,34
Technology Company 31,https://www.technologycompany31.com,technology,1600-3200,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 31: Software Developer; Developer 2 at Technology Company 31: Software Developer,34
Technology Company 32,https://www.technologycompany32.com,technology,1650-3300,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 32: Software Developer; Developer 2 at Technology Company 32: Software Developer,34
Technology Company 33,https://www.technologycompany33.com,technology,1700-3400,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 33: Software Developer; Developer 2 at Technology Company 33: Software Developer,34
Technology Company 34,https://www.technologycompany34.com,technology,1750-3500,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 34: Software Developer; Developer 2 at Technology Company 34: Software Developer,34
Technology Company 35,https://www.technologycompany35.com,technology,1800-3600,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 35: Software Developer; Developer 2 at Technology Company 35: Software Developer,34
Technology Company 36,https://www.technologycompany36.com,technology,1850-3700,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 36: Software Developer; Developer 2 at Technology Company 36: Software Developer,34
Technology Company 37,https://www.technologycompany37.com,technology,1900-3800,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 37: Software Developer; Developer 2 at Technology Company 37: Software Developer,34
Technology Company 38,https://www.technologycompany38.com,technology,1950-3900,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 38: Software Developer; Developer 2 at Technology Company 38: Software Developer,34
Technology Company 39,https://www.technologycompany39.com,technology,2000-4000,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 39: Software Developer; Developer 2 at Technology Company 39: Software Developer,34
Technology Company 40,https://www.technologycompany40.com,technology,2050-4100,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 40: Software Developer; Developer 2 at Technology Company 40: Software Developer,34
Technology Company 41,https://www.technologycompany41.com,technology,2100-4200,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 41: Software Developer; Developer 2 at Technology Company 41: Software Developer,34
Technology Company 42,https://www.technologycompany42.com,technology,2150-4300,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 42: Software Developer; Developer 2 at Technology Company 42: Software Developer,34
Technology Company 43,https://www.technologycompany43.com,technology,2200-4400,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 43: Software Developer; Developer 2 at Technology Company 43: Software Developer,34
Technology Company 44,https://www.technologycompany44.com,technology,2250-4500,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 44: Software Developer; Developer 2 at Technology Company 44: Software Developer,34
Technology Company 45,https://www.technologycompany45.com,technology,2300-4600,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 45: Software Developer; Developer 2 at Technology Company 45: Software Developer,34
Technology Company 46,https://www.technologycompany46.com,technology,2350-4700,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 46: Software Developer; Developer 2 at Technology Company 46: Software Developer,34
Technology Company 47,https://www.technologycompany47.com,technology,2400-4800,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 47: Software Developer; Developer 2 at Technology Company 47: Software Developer,34
Technology Company 48,https://www.technologycompany48.com,technology,2450-4900,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 48: Software Developer; Developer 2 at Technology Company 48: Software Developer,34
Technology Company 49,https://www.technologycompany49.com,technology,2500-5000,A leading technology company specializing in innovative solutions.,Developer 1 at Technology Company 49: Software Developer; Developer 2 at Technology Company 49: Software Developer,34
Finance Company 0,https://www.financecompany0.com,finance,50-100,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 0: Software Developer; Developer 2 at Finance Company 0: Software Developer,24
Finance Company 1,https://www.financecompany1.com,finance,100-200,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 1: Software Developer; Developer 2 at Finance Company 1: Software Developer,24
Finance Company 2,https://www.financecompany2.com,finance,150-300,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 2: Software Developer; Developer 2 at Finance Company 2: Software Developer,24
Finance Company 3,https://www.financecompany3.com,finance,200-400,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 3: Software Developer; Developer 2 at Finance Company 3: Software Developer,24
Finance Company 4,https://www.financecompany4.com,finance,250-500,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 4: Software Developer; Developer 2 at Finance Company 4: Software Developer,24
Finance Company 5,https://www.financecompany5.com,finance,300-600,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 5: Software Developer; Developer 2 at Finance Company 5: Software Developer,24
Finance Company 6,https://www.financecompany6.com,finance,350-700,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 6: Software Developer; Developer 2 at Finance Company 6: Software Developer,24
Finance Company 7,https://www.financecompany7.com,finance,400-800,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 7: Software Developer; Developer 2 at Finance Company 7: Software Developer,24
Finance Company 8,https://www.financecompany8.com,finance,450-900,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 8: Software Developer; Developer 2 at Finance Company 8: Software Developer,24
Finance Company 9,https://www.financecompany9.com,finance,500-1000,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 9: Software Developer; Developer 2 at Finance Company 9: Software Developer,24
Finance Company 10,https://www.financecompany10.com,finance,550-1100,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 10: Software Developer; Developer 2 at Finance Company 10: Software Developer,24
Finance Company 11,https://www.financecompany11.com,finance,600-1200,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 11: Software Developer; Developer 2 at Finance Company 11: Software Developer,24
Finance Company 12,https://www.financecompany12.com,finance,650-1300,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 12: Software Developer; Developer 2 at Finance Company 12: Software Developer,24
Finance Company 13,https://www.financecompany13.com,finance,700-1400,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 13: Software Developer; Developer 2 at Finance Company 13: Software Developer,24
Finance Company 14,https://www.financecompany14.com,finance,750-1500,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 14: Software Developer; Developer 2 at Finance Company 14: Software Developer,24
Finance Company 15,https://www.financecompany15.com,finance,800-1600,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 15: Software Developer; Developer 2 at Finance Company 15: Software Developer,24
Finance Company 16,https://www.financecompany16.com,finance,850-1700,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 16: Software Developer; Developer 2 at Finance Company 16: Software Developer,24
Finance Company 17,https://www.financecompany17.com,finance,900-1800,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 17: Software Developer; Developer 2 at Finance Company 17: Software Developer,24
Finance Company 18,https://www.financecompany18.com,finance,950-1900,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 18: Software Developer; Developer 2 at Finance Company 18: Software Developer,24
Finance Company 19,https://www.financecompany19.com,finance,1000-2000,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 19: Software Developer; Developer 2 at Finance Company 19: Software Developer,24
Finance Company 20,https://www.financecompany20.com,finance,1050-2100,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 20: Software Developer; Developer 2 at Finance Company 20: Software Developer,4
Finance Company 21,https://www.financecompany21.com,finance,1100-2200,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 21: Software Developer; Developer 2 at Finance Company 21: Software Developer,4
Finance Company 22,https://www.financecompany22.com,finance,1150-2300,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 22: Software Developer; Developer 2 at Finance Company 22: Software Developer,4
Finance Company 23,https://www.financecompany23.com,finance,1200-2400,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 23: Software Developer; Developer 2 at Finance Company 23: Software Developer,4
Finance Company 24,https://www.financecompany24.com,finance,1250-2500,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 24: Software Developer; Developer 2 at Finance Company 24: Software Developer,4
Finance Company 25,https://www.financecompany25.com,finance,1300-2600,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 25: Software Developer; Developer 2 at Finance Company 25: Software Developer,4
Finance Company 26,https://www.financecompany26.com,finance,1350-2700,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 26: Software Developer; Developer 2 at Finance Company 26: Software Developer,4
Finance Company 27,https://www.financecompany27.com,finance,1400-2800,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 27: Software Developer; Developer 2 at Finance Company 27: Software Developer,4
Finance Company 28,https://www.financecompany28.com,finance,1450-2900,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 28: Software Developer; Developer 2 at Finance Company 28: Software Developer,4
Finance Company 29,https://www.financecompany29.com,finance,1500-3000,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 29: Software Developer; Developer 2 at Finance Company 29: Software Developer,4
Finance Company 30,https://www.financecompany30.com,finance,1550-3100,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 30: Software Developer; Developer 2 at Finance Company 30: Software Developer,4
Finance Company 31,https://www.financecompany31.com,finance,1600-3200,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 31: Software Developer; Developer 2 at Finance Company 31: Software Developer,4
Finance Company 32,https://www.financecompany32.com,finance,1650-3300,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 32: Software Developer; Developer 2 at Finance Company 32: Software Developer,4
Finance Company 33,https://www.financecompany33.com,finance,1700-3400,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 33: Software Developer; Developer 2 at Finance Company 33: Software Developer,4
Finance Company 34,https://www.financecompany34.com,finance,1750-3500,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 34: Software Developer; Developer 2 at Finance Company 34: Software Developer,4
Finance Company 35,https://www.financecompany35.com,finance,1800-3600,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 35: Software Developer; Developer 2 at Finance Company 35: Software Developer,4
Finance Company 36,https://www.financecompany36.com,finance,1850-3700,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 36: Software Developer; Developer 2 at Finance Company 36: Software Developer,4
Finance Company 37,https://www.financecompany37.com,finance,1900-3800,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 37: Software Developer; Developer 2 at Finance Company 37: Software Developer,4
Finance Company 38,https://www.financecompany38.com,finance,1950-3900,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 38: Software Developer; Developer 2 at Finance Company 38: Software Developer,4
Finance Company 39,https://www.financecompany39.com,finance,2000-4000,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 39: Software Developer; Developer 2 at Finance Company 39: Software Developer,4
Finance Company 40,https://www.financecompany40.com,finance,2050-4100,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 40: Software Developer; Developer 2 at Finance Company 40: Software Developer,4
Finance Company 41,https://www.financecompany41.com,finance,2100-4200,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 41: Software Developer; Developer 2 at Finance Company 41: Software Developer,4
Finance Company 42,https://www.financecompany42.com,finance,2150-4300,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 42: Software Developer; Developer 2 at Finance Company 42: Software Developer,4
Finance Company 43,https://www.financecompany43.com,finance,2200-4400,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 43: Software Developer; Developer 2 at Finance Company 43: Software Developer,4
Finance Company 44,https://www.financecompany44.com,finance,2250-4500,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 44: Software Developer; Developer 2 at Finance Company 44: Software Developer,4
Finance Company 45,https://www.financecompany45.com,finance,2300-4600,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 45: Software Developer; Developer 2 at Finance Company 45: Software Developer,4
Finance Company 46,https://www.financecompany46.com,finance,2350-4700,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 46: Software Developer; Developer 2 at Finance Company 46: Software Developer,4
Finance Company 47,https://www.financecompany47.com,finance,2400-4800,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 47: Software Developer; Developer 2 at Finance Company 47: Software Developer,4
Finance Company 48,https://www.financecompany48.com,finance,2450-4900,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 48: Software Developer; Developer 2 at Finance Company 48: Software Developer,4
Finance Company 49,https://www.financecompany49.com,finance,2500-5000,A leading finance company specializing in innovative solutions.,Developer 1 at Finance Company 49: Software Developer; Developer 2 at Finance Company 49: Software Developer,4
